Image ID,Race,Gender,Age
c00186,Latino,Female,Adult
c00187,White,Female,Adult
c00188,White,Female,Adult
c00190,White,Female,Adult
c00191,Latino,Female,Adult
c00193,White,Female,Adult
c00194,Asian,Male,Adult
c00196,White,Female,Adult
c00197,White,Male,Adult
c00200,White,Female,Adult
c00201,Latino,Female,Adult
c00202,White,Female,Adult
c00203,White,Male,Elderly
c00205,Asian,Female,Adult
c00206,White,Female,Adult
c00208,White,Male,Adult
c00209,White,Male,Adult
c00212,Latino,Male,Adult
c00213,White,Male,Elderly
c00214,White,Female,Adult
c00217,Latino,Female,Adult
c00219,White,Female,Adult
c00220,White,Female,Adult
c00222,Indian,Female,Adult
c00224,White,Male,Elderly
c00228,White,Female,Adult
c00230,White,Female,Adult
c00231,Latino,Female,Adult
c00234,White,Male,Adult
c00235,Latino,Male,Adult
c00237,White,Male,Elderly
c00238,White,Male,Adult
c00241,White,Female,Adult
c00242,Latino,Female,Adult
c00246,White,Female,Adult
c00247,White,Female,Adult
c00250,White,Male,Elderly
c00251,White,Male,Adult
c00252,White,Female,Elderly
c00253,Indian,Male,Adult
c00255,White,Male,Adult
c00256,Black,Female,Adult
c00257,Latino,Female,Adult
c00261,Latino,Female,Adult
c00263,White,Female,Adult
c00264,White,Female,Adult
c00265,White,Female,Elderly
c00266,White,Male,Adult
c00267,White,Female,Adult
c00268,Asian,Female,Adult
c00269,White,Female,Adult
c00270,Latino,Female,Adult
c00271,White,Male,Elderly
c00274,White,Female,Adult
c00275,Latino,Female,Adult
c00276,White,Female,Adult
c00277,White,Female,Adult
c00278,White,Female,Elderly
c00280,White,Male,Adult
c00284,White,Male,Adult
c00286,Latino,Female,Elderly
c00287,White,Female,Adult
c00289,White,Female,Adult
c00290,Indian,Female,Adult
c00292,White,Female,Adult
c00293,White,Male,Adult
c00294,White,Female,Adult
c00297,White,Female,Adult
c00299,White,Male,Adult
c00300,Black,Female,Adult
c00303,Latino,Female,Elderly
c00304,White,Female,Adult
c00306,White,Female,Elderly
c00308,White,Female,Elderly
c00310,Latino,Female,Adult
c00311,White,Female,Adult
c00314,Latino,Female,Adult
c00316,White,Male,Elderly
c00317,Latino,Male,Adult
c00320,White,Male,Adult
c00321,White,Female,Adult
c00326,White,Female,Adult
c00327,Black,Male,Adult
c00329,Black,Female,Adult
c00330,White,Female,Adult
c00331,Asian,Female,Adult
c00332,White,Male,Adult
c00334,White,Female,Adult
c00335,White,Male,Adult
c00336,White,Female,Adult
c00337,White,Female,Adult
c00338,Asian,Female,Adult
c00340,Latino,Female,Adult
c00342,Asian,Male,Adult
c00344,White,Female,Adult
c00346,White,Female,Adult
c00347,White,Male,Adult
c00349,White,Male,Adult
c00350,White,Male,Adult
c00352,White,Male,Adult
c00353,White,Female,Adult
c00356,White,Female,Adult
c00357,White,Female,Adult
c00359,White,Female,Adult
c00361,White,Male,Adult
c00362,Asian,Female,Adult
c00363,White,Male,Adult
c00364,White,Female,Adult
c00365,Latino,Female,Adult
c00366,Indian,Female,Adult
c00368,White,Female,Adult
c00369,White,Male,Elderly
c00370,Latino,Female,Adult
c00371,White,Female,Adult
c00372,Indian,Male,Adult
c00373,Black,Male,Adult
c00375,Asian,Male,Adult
c00376,White,Male,Adult
c00377,White,Male,Adult
c00378,White,Female,Adult
c00379,Latino,Female,Adult
c00380,White,Male,Adult
c00381,White,Female,Adult
c00382,White,Female,Adult
c00383,White,Female,Adult
c00385,Black,Female,Adult
c00386,White,Female,Adult
c00387,Black,Female,Adult
c00388,White,Female,Adult
c00390,Indian,Male,Adult
c00391,White,Female,Adult
c00393,Asian,Female,Adult
c00395,White,Male,Elderly
c00396,White,Female,Adult
c00397,White,Male,Adult
c00398,White,Female,Adult
c00400,Black,Female,Adult
c00401,White,Female,Adult
c00402,White,Female,Adult
c00403,White,Female,Adult
c00404,Latino,Male,Adult
c00405,White,Male,Adult
c00406,White,Male,Adult
c00407,White,Male,Adult
c00409,White,Male,Elderly
c00410,White,Male,Adult
c00411,White,Female,Adult
c00412,White,Male,Adult
c00413,White,Female,Adult
c00414,White,Female,Adult
c00415,White,Male,Adult
c00416,White,Female,Adult
c00417,White,Female,Adult
c00419,White,Female,Adult
c00420,White,Female,Elderly
c00421,Asian,Female,Adult
c00422,White,Female,Adult
c00423,White,Male,Adult
c00424,White,Female,Adult
c00425,White,Male,Adult
c00426,Asian,Female,Adult
c00427,White,Male,Adult
c00428,White,Male,Adult
c00429,White,Male,Adult
c00430,White,Male,Elderly
c00432,White,Female,Adult
c00436,White,Female,Adult
c00437,White,Male,Adult
c00438,Latino,Male,Adult
c00441,White,Male,Child
c00442,White,Female,Adult
c00443,White,Male,Elderly
c00444,White,Female,Elderly
c00445,White,Female,Adult
c00446,Latino,Female,Adult
c00447,White,Male,Adult
c00449,White,Male,Adult
c00450,White,Female,Adult
c00451,White,Female,Adult
c00453,White,Female,Adult
c00455,White,Female,Elderly
c00456,White,Male,Adult
c00458,White,Female,Adult
c00459,White,Female,Adult
c00460,Black,Male,Adult
c00461,White,Female,Adult
c00462,Asian,Male,Adult
c00463,White,Male,Elderly
c00465,White,Female,Adult
c00467,White,Male,Adult
c00468,White,Female,Adult
c00470,White,Female,Adult
c00471,White,Female,Elderly
c00472,Latino,Male,Adult
c00476,Black,Female,Adult
c00478,White,Female,Adult
c00479,Latino,Female,Adult
c00480,White,Male,Adult
c00481,White,Male,Elderly
c00483,White,Female,Adult
c00484,Asian,Female,Adult
c00486,White,Female,Adult
c00487,White,Female,Adult
c00488,White,Male,Adult
c00490,White,Female,Adult
c00492,White,Female,Adult
c00493,White,Female,Elderly
c00496,Asian,Male,Adult
c00497,Black,Male,Adult
c00498,White,Female,Adult
c00499,White,Female,Adult
c00501,Asian,Female,Adult
c00502,Latino,Male,Adult
c00503,White,Female,Adult
c00504,White,Male,Adult
c00505,Asian,Female,Adult
c00506,White,Female,Adult
c00507,White,Male,Adult
c00508,White,Female,Adult
c00509,White,Female,Adult
c00510,White,Female,Adult
c00511,White,Female,Adult
c00513,White,Male,Elderly
c00517,Latino,Female,Adult
c00519,White,Female,Adult
c00520,White,Male,Elderly
c00522,Black,Female,Adult
c00523,White,Female,Adult
c00524,Black,Male,Adult
c00525,White,Male,Adult
c00526,White,Male,Adult
c00527,White,Female,Adult
c00528,White,Male,Adult
c00529,Indian,Male,Adult
c00530,Latino,Female,Adult
c00532,White,Female,Adult
c00533,White,Male,Adult
c00534,White,Female,Adult
c00535,White,Male,Adult
c00537,Black,Female,Adult
c00538,White,Female,Adult
c00540,White,Male,Adult
c00541,White,Female,Adult
c00542,White,Male,Adult
c00543,White,Female,Adult
c00544,White,Female,Adult
c00546,White,Male,Adult
c00547,Asian,Male,Adult
c00549,White,Female,Adult
c00552,Asian,Male,Adult
c00553,Latino,Male,Adult
c00554,Black,Male,Adult
c00555,White,Female,Adult
c00556,White,Female,Adult
c00557,White,Female,Adult
c00559,White,Female,Adult
c00560,White,Male,Adult
c00561,White,Female,Adult
c00564,White,Male,Elderly
c00565,White,Female,Adult
c00566,Latino,Male,Adult
c00568,White,Male,Adult
c00569,White,Female,Adult
c00570,Asian,Female,Elderly
c00571,White,Male,Adult
c00572,White,Female,Adult
c00573,White,Female,Adult
c00574,Latino,Female,Adult
c00576,White,Female,Adult
c00578,White,Female,Adult
c00580,White,Female,Adult
c00581,Asian,Female,Adult
c00583,White,Female,Adult
c00584,White,Female,Adult
c00586,White,Male,Adult
c00587,White,Male,Adult
c00588,White,Male,Adult
c00589,White,Male,Adult
c00592,Black,Female,Adult
c00594,White,Female,Adult
c00595,White,Male,Adult
c00596,White,Female,Adult
c00598,White,Female,Adult
c00599,White,Female,Adult
c00600,Asian,Female,Adult
c00601,Black,Male,Adult
c00603,White,Female,Adult
c00607,Latino,Male,Adult
c00608,White,Female,Adult
c00609,White,Female,Adult
c00610,Latino,Male,Adult
c00611,Indian,Female,Adult
c00612,Black,Male,Adult
c00614,White,Male,Adult
c00615,White,Male,Adult
c00616,White,Female,Adult
c00617,White,Female,Adult
c00618,White,Female,Adult
c00619,Black,Female,Adult
c00620,White,Male,Adult
c00621,White,Male,Adult
c00622,White,Female,Adult
c00624,White,Male,Adult
c00625,White,Female,Adult
c00627,White,Female,Adult
c00628,White,Female,Adult
c00629,White,Male,Adult
c00630,White,Male,Adult
c00631,White,Female,Adult
c00632,White,Female,Adult
c00633,White,Male,Adult
c00634,White,Male,Elderly
c00636,White,Female,Adult
c00637,White,Female,Adult
c00639,White,Male,Adult
c00640,White,Male,Elderly
c00642,White,Male,Adult
c00643,White,Male,Adult
c00644,Black,Male,Adult
c00649,White,Female,Adult
c00650,Latino,Female,Adult
c00651,White,Male,Adult
c00653,White,Female,Adult
c00654,White,Male,Adult
c00655,White,Female,Adult
c00656,Black,Male,Adult
c00657,Asian,Female,Adult
c00658,White,Male,Adult
c00659,White,Female,Adult
c00660,White,Male,Adult
c00661,White,Female,Adult
c00663,White,Female,Adult
c00664,White,Female,Adult
c00665,White,Male,Adult
c00666,White,Female,Adult
c00667,Latino,Male,Adult
c00668,White,Female,Adult
c00669,White,Female,Adult
c00670,White,Male,Adult
c00671,Asian,Female,Adult
c00672,White,Male,Adult
c00674,White,Male,Adult
c00675,Latino,Female,Adult
c00677,White,Female,Adult
c00678,White,Male,Adult
c00679,White,Female,Adult
c00680,White,Female,Adult
c00681,Black,Female,Adult
c00682,White,Female,Adult
c00683,White,Female,Adult
c00684,White,Female,Adult
c00685,White,Female,Adult
c00686,Asian,Male,Adult
c00687,White,Female,Adult
c00688,White,Female,Adult
c00690,White,Female,Adult
c00691,Black,Female,Adult
c00692,White,Female,Adult
c00695,White,Female,Adult
c00696,White,Female,Adult
c00697,Latino,Male,Adult
c00698,White,Female,Adult
c00699,White,Female,Adult
c00701,Latino,Male,Adult
c00702,White,Male,Adult
c00703,White,Female,Adult
c00704,White,Male,Adult
c00705,White,Female,Adult
c00706,White,Male,Adult
c00707,White,Male,Adult
c00708,White,Male,Adult
c00709,White,Female,Adult
c00711,White,Female,Adult
c00712,White,Male,Child
c00713,White,Female,Adult
c00714,White,Female,Adult
c00715,White,Male,Adult
c00716,Black,Female,Adult
c00717,White,Male,Adult
c00718,White,Female,Adult
c00721,White,Female,Adult
c00723,White,Female,Adult
c00724,White,Female,Adult
c00725,White,Female,Adult
c00727,White,Female,Adult
c00730,White,Female,Adult
c00731,Latino,Female,Adult
c00732,White,Female,Adult
c00733,White,Male,Adult
c00734,White,Female,Adult
c00735,White,Male,Adult
c00736,White,Female,Adult
c00737,White,Female,Adult
c00738,White,Male,Adult
c00741,White,Female,Adult
c00743,White,Female,Adult
c00744,White,Female,Adult
c00745,White,Male,Adult
c00747,White,Female,Adult
c00749,White,Female,Adult
c00750,White,Female,Adult
c00751,Asian,Female,Adult
c00752,Black,Female,Adult
c00753,White,Male,Adult
c00754,Asian,Male,Adult
c00755,White,Male,Adult
c00756,Asian,Female,Adult
c00757,Latino,Male,Adult
c00759,White,Female,Adult
c00760,White,Female,Adult
c00762,White,Female,Adult
c00763,White,Female,Elderly
c00764,White,Female,Adult
c00765,White,Female,Adult
c00766,White,Male,Adult
c00767,Asian,Female,Adult
c00768,Asian,Female,Adult
c00769,White,Male,Elderly
c00770,Indian,Male,Adult
c00771,Indian,Female,Adult
c00772,White,Female,Adult
c00773,White,Female,Adult
c00775,White,Female,Elderly
c00776,Black,Female,Adult
c00777,White,Male,Adult
c00778,White,Female,Adult
c00779,White,Male,Adult
c00780,White,Female,Adult
c00781,White,Male,Adult
c00782,White,Male,Elderly
c00783,White,Female,Adult
c00784,White,Female,Adult
c00785,White,Female,Adult
c00786,White,Female,Adult
c00787,White,Female,Adult
c00788,Latino,Female,Adult
c00790,White,Female,Adult
c00791,White,Male,Elderly
c00792,White,Male,Adult
c00793,White,Female,Adult
c00794,White,Male,Adult
c00795,Latino,Female,Adult
c00797,White,Male,Elderly
c00799,White,Female,Adult
c00800,White,Female,Adult
c00801,White,Female,Adult
c00802,White,Male,Adult
c00803,White,Male,Adult
c00804,White,Female,Adult
c00805,White,Female,Adult
c00806,Indian,Female,Adult
c00807,White,Female,Adult
c00808,White,Male,Elderly
c00810,White,Male,Adult
c00811,Asian,Male,Adult
c00812,White,Female,Adult
c00813,White,Male,Adult
c00815,Asian,Male,Adult
c00816,White,Male,Adult
c00819,White,Female,Adult
c00820,White,Female,Adult
c00823,White,Male,Adult
c00824,White,Female,Adult
c00826,White,Female,Adult
c00827,Black,Female,Adult
c00828,Indian,Female,Adult
c00829,White,Female,Adult
c00831,Latino,Male,Adult
c00832,White,Female,Adult
c00833,White,Male,Adult
c00834,White,Female,Adult
c00835,White,Male,Adult
c00836,White,Female,Adult
c00837,White,Male,Adult
c00838,White,Female,Adult
c00839,White,Female,Adult
c00840,White,Female,Adult
c00841,White,Male,Adult
c00842,Asian,Female,Adult
c00844,White,Female,Adult
c00845,White,Male,Adult
c00846,White,Female,Elderly
c00847,White,Male,Adult
c00848,Black,Female,Adult
c00850,White,Female,Adult
c00851,Black,Female,Adult
c00852,White,Male,Adult
c00853,White,Female,Adult
c00854,White,Female,Adult
c00855,White,Male,Adult
c00856,White,Female,Adult
c00857,Latino,Male,Adult
c00858,White,Female,Adult
c00860,White,Female,Elderly
c00861,White,Female,Adult
c00862,Latino,Female,Adult
c00863,White,Male,Elderly
c00865,White,Female,Adult
c00866,White,Female,Adult
c00867,White,Female,Adult
c00868,White,Female,Adult
c00869,White,Male,Adult
c00870,White,Male,Adult
c00871,White,Female,Adult
c00872,Latino,Female,Adult
c00873,White,Male,Adult
c00874,Asian,Female,Adult
c00876,White,Male,Adult
c00878,Asian,Female,Adult
c00879,White,Female,Adult
c00880,Black,Female,Adult
c00881,White,Female,Adult
c00882,White,Female,Adult
c00883,White,Female,Adult
c00884,White,Male,Adult
c00885,White,Female,Adult
c00886,White,Female,Adult
c00887,Black,Female,Adult
c00888,White,Male,Elderly
c00889,White,Male,Adult
c00890,White,Male,Adult
c00891,White,Female,Elderly
c00892,White,Male,Adult
c00893,White,Female,Adult
c00894,White,Female,Adult
c00896,White,Female,Adult
c00897,White,Female,Adult
c00898,White,Female,Adult
c00899,White,Female,Adult
c00900,White,Male,Adult
c00901,White,Female,Adult
c00902,White,Female,Adult
c00904,White,Female,Adult
c00905,White,Female,Adult
c00906,White,Female,Adult
c00907,White,Female,Adult
c00908,Latino,Female,Adult
c00909,White,Male,Adult
c00910,Asian,Female,Adult
c00911,White,Male,Elderly
c00912,White,Female,Adult
c00914,White,Female,Adult
c00915,White,Female,Adult
c00916,White,Male,Adult
c00917,White,Female,Adult
c00919,White,Female,Adult
c00920,Black,Female,Adult
c00921,White,Male,Adult
c00922,White,Male,Adult
c00923,White,Female,Adult
c00924,Black,Female,Adult
c00925,White,Female,Adult
c00930,White,Female,Adult
c00931,White,Female,Adult
c00932,Latino,Female,Adult
c00933,White,Female,Adult
c00934,White,Female,Adult
c00935,White,Female,Adult
c00936,White,Male,Adult
c00937,White,Female,Adult
c00938,White,Female,Adult
c00940,White,Male,Adult
c00941,White,Male,Adult
c00942,White,Male,Adult
c00943,White,Male,Adult
c00944,White,Female,Adult
c00945,White,Female,Adult
c00946,Asian,Female,Adult
c00947,White,Male,Adult
c00948,White,Female,Adult
c00949,Indian,Female,Adult
c00950,White,Female,Adult
c00951,White,Female,Adult
c00952,Latino,Male,Adult
c00953,Latino,Female,Adult
c00954,White,Male,Adult
c00955,White,Female,Adult
c00956,White,Female,Adult
c00957,White,Female,Adult
c00958,White,Female,Adult
c00959,White,Female,Adult
c00960,White,Female,Adult
c00961,Indian,Female,Adult
c00962,White,Male,Elderly
c00963,White,Female,Adult
c00964,White,Female,Adult
c00965,White,Female,Adult
c00967,White,Male,Adult
c00968,White,Female,Adult
c00969,White,Female,Adult
c00970,Asian,Female,Adult
c00971,White,Female,Adult
c00973,White,Male,Adult
c00974,White,Female,Adult
c00975,White,Female,Adult
c00976,White,Female,Adult
c00977,White,Male,Adult
c00979,White,Female,Adult
c00980,White,Female,Adult
c00981,White,Female,Adult
c00983,White,Female,Adult
c00984,White,Male,Elderly
c00985,Black,Male,Adult
c00986,White,Male,Adult
c00987,White,Male,Adult
c00988,White,Female,Adult
c00989,White,Male,Adult
c00990,White,Male,Elderly
c00991,White,Female,Adult
c00992,Black,Female,Adult
c00993,White,Female,Adult
c00994,White,Female,Adult
c00995,White,Female,Adult
c00996,White,Female,Adult
c00997,White,Female,Adult
c00998,Indian,Female,Adult
c00999,White,Female,Adult
c01000,White,Male,Adult
c01001,White,Male,Adult
c01002,White,Female,Elderly
c01003,Asian,Female,Adult
c01004,White,Female,Adult
c01005,White,Female,Adult
c01006,White,Female,Adult
c01008,White,Female,Adult
c01009,White,Male,Adult
c01010,Asian,Female,Elderly
c01011,White,Female,Adult
c01012,Latino,Female,Adult
c01013,White,Male,Adult
c01014,White,Female,Adult
c01015,White,Female,Adult
c01016,Indian,Male,Adult
c01017,White,Male,Adult
c01018,White,Female,Adult
c01019,Indian,Female,Adult
c01020,Black,Female,Adult
c01021,White,Female,Adult
c01022,White,Female,Adult
c01025,White,Male,Adult
c01026,White,Female,Adult
c01027,Black,Male,Adult
c01028,White,Female,Adult
c01030,Latino,Female,Adult
c01031,White,Male,Adult
c01032,Asian,Female,Adult
c01033,White,Female,Adult
c01034,White,Male,Adult
c01035,Indian,Male,Adult
c01036,White,Male,Adult
c01037,White,Female,Adult
c01038,White,Female,Adult
c01039,White,Male,Adult
c01040,White,Female,Adult
c01041,White,Male,Adult
c01042,White,Female,Adult
c01043,White,Female,Adult
c01044,White,Female,Adult
c01045,White,Female,Adult
c01046,White,Female,Adult
c01047,White,Female,Adult
c01048,Latino,Male,Adult
c01049,White,Female,Adult
c01050,White,Female,Adult
c01051,Asian,Female,Adult
c01052,White,Female,Adult
c01053,White,Female,Adult
c01054,Black,Female,Adult
c01055,White,Female,Adult
c01057,Asian,Female,Adult
c01058,White,Female,Adult
c01059,Black,Male,Adult
c01060,White,Female,Adult
c01061,White,Male,Adult
c01062,White,Female,Adult
c01064,White,Female,Adult
c01065,White,Female,Elderly
c01066,White,Female,Adult
c01068,White,Male,Adult
c01070,Indian,Male,Adult
c01071,Black,Male,Adult
c01072,White,Female,Adult
c01073,White,Male,Adult
c01075,Latino,Male,Adult
c01076,White,Female,Adult
c01077,White,Male,Adult
c01078,Latino,Female,Adult
c01080,White,Female,Adult
c01081,White,Female,Adult
c01082,White,Male,Adult
c01083,White,Female,Adult
c01085,White,Female,Adult
c01086,White,Female,Adult
c01087,White,Female,Adult
c01088,Indian,Female,Adult
c01089,White,Female,Adult
c01090,Indian,Male,Adult
c01091,White,Male,Adult
c01092,White,Male,Adult
c01093,White,Female,Adult
c01094,White,Female,Adult
c01096,White,Male,Elderly
c01098,White,Male,Adult
c01100,White,Female,Adult
c01103,White,Female,Adult
c01105,White,Male,Adult
c01106,White,Female,Adult
c01107,White,Male,Adult
c01108,White,Female,Adult
c01110,White,Female,Adult
c01111,White,Female,Adult
c01113,White,Male,Adult
c01114,White,Female,Adult
c01115,White,Female,Adult
c01116,White,Male,Adult
c01117,White,Female,Elderly
c01118,Indian,Female,Adult
c01120,Black,Male,Adult
c01121,Latino,Female,Adult
c01122,Latino,Female,Adult
c01124,White,Female,Adult
c01125,White,Male,Adult
c01127,Latino,Female,Adult
c01128,Asian,Female,Adult
c01129,Latino,Male,Adult
c01130,White,Male,Elderly
c01131,White,Female,Adult
c01133,White,Female,Adult
c01134,White,Female,Adult
c01135,White,Female,Adult
c01136,Asian,Male,Adult
c01137,Latino,Female,Adult
c01138,White,Male,Adult
c01139,White,Male,Adult
c01140,Indian,Female,Adult
c01141,White,Female,Adult
c01143,White,Female,Adult
c01144,White,Female,Adult
c01145,White,Female,Adult
c01146,White,Male,Adult
c01148,White,Female,Adult
c01149,White,Male,Elderly
c01150,White,Female,Adult
c01151,White,Female,Adult
c01153,White,Female,Adult
c01154,White,Female,Adult
c01155,Asian,Female,Adult
c01156,Asian,Female,Adult
c01157,White,Female,Adult
c01158,White,Male,Adult
c01159,White,Female,Adult
c01160,White,Female,Adult
c01163,White,Male,Adult
c01164,White,Female,Adult
c01165,White,Male,Elderly
c01166,Black,Male,Adult
c01167,White,Male,Elderly
c01168,White,Male,Adult
c01169,White,Female,Adult
c01170,White,Male,Adult
c01171,White,Female,Adult
c01172,White,Male,Adult
c01173,White,Female,Adult
c01175,White,Female,Adult
c01176,Indian,Female,Adult
c01177,Asian,Female,Adult
c01178,White,Female,Adult
c01179,White,Female,Adult
c01180,Latino,Female,Adult
c01182,White,Male,Adult
c01183,White,Female,Adult
c01186,Black,Female,Adult
c01187,White,Female,Adult
c01188,White,Male,Child
c01189,White,Female,Adult
c01190,White,Female,Adult
c01191,White,Female,Adult
c01192,Asian,Male,Adult
c01193,White,Male,Adult
c01194,White,Male,Adult
c01195,White,Male,Adult
c01196,White,Female,Adult
c01197,White,Male,Adult
c01198,White,Female,Adult
c01199,White,Male,Adult
c01200,White,Female,Elderly
c01201,White,Male,Adult
c01202,Indian,Male,Adult
c01204,White,Male,Adult
c01205,Black,Female,Adult
c01206,White,Male,Adult
c01207,White,Female,Adult
c01208,White,Female,Adult
c01209,White,Female,Adult
c01210,White,Female,Adult
c01212,White,Female,Adult
c01213,White,Female,Adult
c01214,White,Female,Adult
c01215,White,Female,Adult
c01216,White,Female,Adult
c01219,White,Female,Adult
c01221,White,Female,Adult
c01222,White,Male,Elderly
c01223,Asian,Female,Adult
c01225,White,Male,Adult
c01227,White,Female,Adult
c01228,White,Female,Adult
c01229,White,Male,Elderly
c01230,White,Male,Adult
c01231,White,Female,Adult
c01232,White,Female,Adult
c01233,Black,Female,Adult
c01234,Asian,Female,Adult
c01236,White,Female,Adult
c01237,White,Female,Adult
c01238,White,Female,Elderly
c01239,White,Female,Elderly
c01240,White,Female,Adult
c01241,White,Male,Adult
c01242,White,Female,Adult
c01243,Latino,Female,Adult
c01244,White,Female,Adult
c01245,White,Female,Adult
c01246,White,Female,Adult
c01247,White,Female,Adult
c01248,White,Male,Adult
c01249,White,Female,Adult
c01251,White,Female,Adult
c01252,Latino,Female,Adult
c01255,White,Male,Elderly
c01256,White,Male,Adult
c01257,Asian,Female,Adult
c01258,White,Female,Adult
c01259,White,Male,Adult
c01260,White,Female,Adult
c01262,Indian,Female,Adult
c01265,White,Male,Adult
c01266,White,Female,Elderly
c01267,White,Female,Adult
c01268,Black,Male,Adult
c01270,White,Female,Adult
c01271,Black,Female,Adult
c01272,White,Male,Adult
c01273,Latino,Male,Adult
c01274,White,Female,Adult
c01275,White,Female,Adult
c01276,White,Male,Adult
c01277,White,Female,Adult
c01278,White,Female,Adult
c01279,White,Female,Adult
c01280,White,Female,Adult
c01282,Latino,Male,Adult
c01283,White,Female,Adult
c01284,Black,Female,Adult
c01285,White,Female,Adult
c01286,Asian,Male,Adult
c01287,White,Female,Adult
c01288,White,Male,Adult
c01289,Latino,Female,Adult
c01291,White,Female,Adult
c01292,Black,Male,Adult
c01294,Latino,Female,Adult
c01295,White,Female,Adult
c01296,White,Male,Adult
c01297,White,Female,Adult
c01298,White,Female,Adult
c01299,White,Female,Adult
c01300,White,Female,Adult
c01301,White,Female,Adult
c01302,White,Female,Adult
c01303,White,Female,Adult
c01306,White,Male,Adult
c01307,White,Female,Adult
c01308,White,Male,Adult
c01309,White,Female,Adult
c01310,White,Female,Adult
c01311,White,Female,Adult
c01312,Asian,Female,Adult
c01313,White,Female,Adult
c01314,White,Female,Adult
c01315,White,Female,Adult
c01316,Latino,Female,Adult
c01317,White,Male,Adult
c01318,White,Male,Adult
c01321,White,Female,Adult
c01322,Asian,Female,Adult
c01323,White,Female,Adult
c01324,Latino,Female,Adult
c01325,Latino,Female,Adult
c01326,White,Female,Adult
c01327,Latino,Male,Adult
c01328,White,Female,Adult
c01329,White,Female,Adult
c01330,White,Male,Adult
c01331,White,Female,Adult
c01332,White,Male,Adult
c01333,White,Female,Adult
c01334,Black,Female,Adult
c01335,White,Female,Adult
c01336,White,Female,Adult
c01337,White,Male,Adult
c01338,White,Female,Adult
c01339,White,Female,Adult
c01342,Black,Female,Adult
c01343,White,Male,Elderly
c01346,White,Male,Adult
c01347,Black,Male,Adult
c01348,Latino,Female,Adult
c01349,White,Male,Adult
c01350,White,Female,Adult
c01352,White,Male,Adult
c01353,Black,Female,Adult
c01354,White,Female,Adult
